,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total #= 94,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Solvent,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),EffectiveEg(eV),Concentration (mg/ml),,,,,,,,,,,,,,,,,,,
1000 lux,CD1,PBN-14,"1  1,5",1.06,116,62.6,21.39,CB,0.08,5.28,2.91,2.37,5.58,3.53,2.05,1.75,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",CD1,PBN-10,1  1,1.28,9.71,55.2,6.86,CF + 2% CN,0.08,5.28,2.91,2.37,5.81,3.42,2.39,1.86,6,,,,,,,,,,,,,,,,,,,
1000 lux,CD1,PBN-10,1  1,1.12,94,59.7,17.5,CF + 2% CN,0.08,5.28,2.91,2.37,5.81,3.42,2.39,1.86,6,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM7,IO-4Cl,1  1,,,,,TL,0.04,5.52,3.67,1.85,5.72,3.83,1.89,1.69,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM7,IO-4Cl,1  1,1.04,66.12,44,9.46,TL,0.04,5.52,3.67,1.85,5.72,3.83,1.89,1.69,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM7,IT-4F,1  1,0.9,16.39,58,8.65,TL,0.04,5.52,3.67,1.85,5.71,4.16,1.55,1.36,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM7,IT-4F,1  1,0.74,90.51,69,14.44,TL,0.04,5.52,3.67,1.85,5.71,4.16,1.55,1.36,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM7,Y6-BO (Y12),1  1,,,,,TL,0.04,5.52,3.67,1.85,5.68,4.06,1.62,1.46,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM7,Y6-BO (Y12),1  1,0.69,84.44,70,12.74,TL,0.04,5.52,3.67,1.85,5.68,4.06,1.62,1.46,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PJ-50,IO-4Cl,1  1,,,,,TL,0.04,5.5,3.59,1.91,5.72,3.83,1.89,1.67,20,,,,,,,,,,,,,,,,,,,
1000 lux,PJ-50,IO-4Cl,1  1,1.02,71.73,65,14.86,TL,0.04,5.5,3.59,1.91,5.72,3.83,1.89,1.67,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PJ-50,IT-4F,1  1,0.86,19.68,67,11.34,TL,0.04,5.5,3.59,1.91,5.71,4.16,1.55,1.34,20,,,,,,,,,,,,,,,,,,,
1000 lux,PJ-50,IT-4F,1  1,0.71,103.97,74,17.17,TL,0.04,5.5,3.59,1.91,5.71,4.16,1.55,1.34,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PJ-50,Y6-BO (Y12),1  1,,,,,TL,0.04,5.5,3.59,1.91,5.68,4.06,1.62,1.44,20,,,,,,,,,,,,,,,,,,,
1000 lux,PJ-50,Y6-BO (Y12),1  1,0.7,85.86,71,13.39,TL,0.04,5.5,3.59,1.91,5.68,4.06,1.62,1.44,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",J52-Cl,IO-4Cl,1  1,,,,,TL,0.04,5.46,3.5,1.96,5.72,3.83,1.89,1.63,20,,,,,,,,,,,,,,,,,,,
1000 lux,J52-Cl,IO-4Cl,1  1,0.87,79.28,53,11.42,TL,0.04,5.46,3.5,1.96,5.72,3.83,1.89,1.63,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",J52-Cl,IT-4F,1  1,0.77,19.04,60,8.77,TL,0.04,5.46,3.5,1.96,5.71,4.16,1.55,1.3,20,,,,,,,,,,,,,,,,,,,
1000 lux,J52-Cl,IT-4F,1  1,0.61,88.28,69,11.61,TL,0.04,5.46,3.5,1.96,5.71,4.16,1.55,1.3,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",J52-Cl,Y6-BO (Y12),1  1,,,,,TL,0.04,5.46,3.5,1.96,5.68,4.06,1.62,1.4,20,,,,,,,,,,,,,,,,,,,
1000 lux,J52-Cl,Y6-BO (Y12),1  1,0.62,85.41,59,9.76,TL,0.04,5.46,3.5,1.96,5.68,4.06,1.62,1.4,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBQx-TCl,BTP-eC9,"1  1,2",0.82,26,75.2,16,"TL + 0,5% DIO",1,5.39,2.86,2.53,5.52,4,1.52,1.39,12,,,,,,,,,,,,,,,,,,,
1000 lux,PBQx-TCl,BTP-eC9,"1  1,2",0.69,118.9,76.4,20.8,"TL + 0,5% DIO",1,5.39,2.86,2.53,5.52,4,1.52,1.39,12,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,L8-BO,"1  1,2",0.848,23.8,71.1,14.3,"CF + 0,5 % CN",0.045,5.45,3.65,1.8,5.68,3.92,1.76,1.53,16,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,L8-BO,"1  1,2",0.734,122.8,72.6,25.5,"CF + 0,5 % CN",0.045,5.45,3.65,1.8,5.68,3.92,1.76,1.53,16,,,,,,,,,,,,,,,,,,,
