Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
PTB7,-5.14,-3.51,1.64,IEICO-4F,-5.44,-4.19,,01:01.5,CB,25,,25,PEDOT:PSS,PFN-Br,0.54,14.73,28.92,2.3
PTB7-Th,-5.22,-3.64,,IEICO-4F,-5.44,-4.19,,01:01.5,CB,25,,25,PEDOT:PSS,PFN-Br,0.72,23.21,69.41,11.6
PBO,-5.47,-3.67,1.8,ITIC,-5.53,-3.88,,1:02,o-DCB,20,85,25,PEDOT:PSS,LiF,0.92,14.3,54,7.1
PBDB-T,-5.28,,,TTIC-M,-5.3,-3.82,1.44,1:01,CB,20,,25,PEDOT:PSS,PDINO,0.83,19.07,63,9.85
PBDB-T,-5.28,,,TTIC,-5.33,-3.87,1.38,1:01,CB,20,,25,PEDOT:PSS,PDINO,0.8,20.58,66,10.73
PBDB-T,-5.28,,,TTIC-F,-5.34,-3.88,1.35,1:01,CB,20,,25,PEDOT:PSS,PDINO,0.71,21.26,63,9.38
J71,-5.36,-3.42,,ITIC,-5.48,-3.83,,01:01.3,CB,22.5,175,25,MoOx,ZnO,0.96,14.81,63.63,9.03
FTAZ,-5.48,-3.47,,ITIC,-5.64,-4.04,,01:01.5,CF,15,90,25,MoOx,ZnO,0.911,16.71,58,8.77
HTAZ,-5.42,-3.44,1.91,ITIC,-5.64,-4.04,,01:01.5,CF,15,90,25,MoOx,ZnO,0.851,13.03,40.8,4.5
PTB7-Th,,,,IFT-ECA,-5.62,-3.58,2.28,01:01.5,o-DCB,,120,25,MoOx,ZnO,0.76,0.2,23.6,0.03
PTB7-Th,,,,IFT-M,-5.83,-3.65,2.15,01:01.5,o-DCB,,120,25,MoOx,ZnO,0.76,0.8,24.9,0.15
PTB7-Th,,,,IFT-IC,-5.7,-3.87,2.03,01:01.5,o-DCB,,120,25,MoOx,ZnO,1.03,8,50.3,4.14
PTB7-Th,,,,IFT-TH,-5.85,-3.67,1.84,01:01.5,o-DCB,,120,25,MoOx,ZnO,0.9,13.2,60.2,7.16
PBDB-T,,,,IT-M,,,,1:01,CB,20,100,25,PEDOT:PSS,PFN-Br,0.961,16.69,70,11.5
PTB7-Th,-5.2,-3.59,,4TIC,-5.28,-3.87,1.4,1:02,CB,30,,25,PEDOT:PSS,C60-bissalt,0.78,18.8,72,10.43
PTB7-Th,-5.2,-3.59,,ITIC,-5.43,-3.81,1.6,01:01.3,CB,22.5,,25,PEDOT:PSS,C60-bissalt,0.83,15.18,57,7.28
TBF-BDD,-5.37,-3.65,1.76,ITIC,,,,1:01,CF,16,,110,PEDOT:PSS,PDINO,0.85,14.94,56,7.13
TBF-BT,-5.4,-3.55,1.75,ITIC,,,,1:01,CF,16,,110,PEDOT:PSS,PDINO,0.81,13.89,63,7.03
PBT,-5.43,-3.65,1.78,CzC6C8,-5.79,-3.79,2,1:03,CB,25,97,130,MoOx,ZnO,0.99,8.24,41,3.3
PBT,-5.43,-3.65,1.78,CzC8,-5.72,-3.74,1.98,1:03,CB,25,103,130,MoOx,ZnO,1.03,9,50,4.64
PTB7-Th,-5.23,-3.65,,CzC8,-5.72,-3.74,1.98,1:03,CB,25,102,100,MoOx,ZnO,0.98,11.24,45,4.91
PTFBDT,-5.5,-3.69,1.81,CzC8,-5.72,-3.74,1.98,1:03,CB,25,94,150,MoOx,ZnO,1.16,7.99,51,4.67
PBDB-T,-5.33,-3.53,,IDTC,-5.29,-3.37,1.51,1:01,CF,,100,160,PEDOT:PSS,PDINO,0.917,16.56,61.61,9.35
PBDB-T,-5.33,-3.53,,IDTO,-5.11,-3.38,1.53,1:01,CF,,100,160,PEDOT:PSS,PDINO,0.943,16.25,65.41,10.02
PTB7-Th,-5.2,-3.6,1.58,BTA7,-5.56,-3.66,1.78,1:02,CF,15,,80,PEDOT:PSS,Ca,1.05,10.44,42,4.6
PTB7-Th,-5.2,-3.6,1.58,BTA1,-5.51,-3.55,1.85,1:02,CF,15,,80,PEDOT:PSS,Ca,0.93,0.2,29,0.06
PTB7-Th,-5.2,-3.6,1.58,BTA2,-5.43,-3.38,2,1:02,CF,15,,80,PEDOT:PSS,Ca,1.01,0.05,27,0.01
P3HT,-5,-3.1,1.9,BTA1,-5.51,-3.55,,01:00.6,CF,15,,100,PEDOT:PSS,Ca,1.02,7.34,70,5.24
P3HT,-5,-3.1,1.9,BTA2,-5.43,-3.38,2,0.6:1,CF,15,,100,PEDOT:PSS,Ca,1.22,6.15,60,4.5
P3HT,-5,-3.1,,BT2,-5.5,-3.53,1.82,1.5:1,CF,15,,150,PEDOT:PSS,Ca,0.97,7.59,67,4.93
P3HT,-5,-3.1,,BT2b,-5.41,-3.56,1.75,1:01,CF,15,,150,PEDOT:PSS,Ca,0.92,10.02,66,6.08
PBDB-T,-5.33,-2.92,,CDTCN,-5.39,-3.8,1.48,1:01,CB,20,107,80,MoOx,ZnO,0.96,11.26,57.58,6.23
PTB7-Th,-5.2,-3.59,,IHIC,-5.45,-3.93,,01:01.5,o-DCB,20,100,25,MoOx,ZnO,0.754,19.01,68.1,9.77
PBDB-T,-5.33,-2.92,,ITIC,-5.96,-3.98,,1:01,CB,20,100,25,MoOx,ZnO,0.88,13.8,59.8,7.4
PBDTTT-C-T,-5.11,-3.25,,IDT-2BM,-5.6,-4.8,1.6,1.5:1,o-DCB,30,,25,PEDOT:PSS,Ca,0.766,10.1,55.1,4.26
PBDTTT-C-T,-5.11,-3.25,,IDTT-2BM,-5.5,-3.8,1.54,1.5:1,o-DCB,30,,25,PEDOT:PSS,Ca,0.851,9.87,57.2,4.81
PffQx-T,-5.36,-3.56,1.73,ITIC,-5.48,-3.83,1.57,01:01.5,CF,20,100,170,PEDOT:PSS,PDINO,0.87,16.33,59.6,8.47
PffQx-PS,-5.4,-3.55,1.81,ITIC,-5.48,-3.83,1.57,1:01,CF,20,100,90,PEDOT:PSS,PDINO,0.97,14.96,62.9,9.12
PBDB-T,-5.28,-3.48,,ITIC,-5.51,-3.78,,1:01,CB,20,100,160,MoOx,ZnO,0.831,14.5,71.1,8.6
PBDB-T,,,,ITIC,,,,1:01,CB,20,100,25,MoOx,ZnO,0.87,19.11,64.15,10.53
PTB7-Th,,,,O-IDTBR,,,,,,,,,,,0.992,17.7,57.3,10.1
PTB7-Th,,,,IEICO,,,,,,,,,,,0.883,14.8,61.2,7.95
PTB7-Th,,,,IEICO-4F,,,,,,,,,,,0.707,26.6,66,12.4
J101,-5.3,-3.5,1.53,ITIC,-5.56,-3.79,,1:01,CF,16,98,150,PEDOT:PSS,PDINO,0.951,17.7,73.65,12.47
J101,-5.3,-3.5,1.53,ZITI,-5.53,-3.8,,1:01,CF,16,105,120,PEDOT:PSS,PDINO,0.937,21.25,72.48,14.43
J71,-5.27,-3.6,,ZITI,-5.53,-3.8,,1:01,CF,16,98,25,PEDOT:PSS,PDINO,0.912,20.23,69.49,12.82
PTB7-Th,-5.22,-3.64,,DICTF-C10,-5.67,-3.89,1.76,2:03,o-DCB,25,68,25,MoOx,ZnO,0.865,19.255,50,6.93
